True Values,Predicted Values,True Characters,Predicted Characters,Character Distance,Matching
0.35,0.029620476,O,M,2,0
-0.33,-0.095555596,G,K,4,0
-0.37,-0.21004553,F,I,3,0
0.12,-0.02247098,N,L,2,0
-0.23,-0.022241347,H,L,4,0
0.25,0.03710722,O,M,2,0
0.11,0.052687258,N,M,1,0
-0.05,-0.1631659,L,J,2,0
-0.76,-0.122291684,D,K,7,0
0.23,-0.01176744,O,L,3,0
-0.02,-0.038116053,L,L,0,1
0.25,0.013425693,O,M,2,0
0.19,0.108863376,N,N,0,1
-0.3,-0.08803905,G,K,4,0
-0.16,-0.13709189,J,J,0,1
-0.04,-0.10252071,L,K,1,0
0.09,-0.06146799,N,L,2,0
0.23,0.0024114698,O,M,2,0
-0.35,-0.17442252,G,I,2,0
0.07,-0.110084675,M,K,2,0
-0.74,-0.07494952,D,K,7,0
-0.07,-0.070372425,K,K,0,1
0.0,-0.04847908,M,L,1,0
0.02,0.08775465,M,M,0,1
-0.21,-0.13563488,I,J,1,0
-0.07,-0.10492741,K,K,0,1
-0.55,-0.035530835,E,L,7,0
0.3,-0.045178294,O,L,3,0
0.02,0.059914082,M,M,0,1
0.14,0.06368034,N,M,1,0
-0.05,-0.11934081,L,K,1,0
0.07,-0.13457753,M,J,3,0
-0.09,-0.04321821,K,L,1,0
0.04,-0.03892129,M,L,1,0
0.12,0.018511623,N,M,1,0
0.12,0.0552213,N,M,1,0
0.18,-0.08261373,N,K,3,0
-0.3,-0.16669278,G,J,3,0
0.03,-0.12862328,M,J,3,0
0.09,0.023193207,N,M,1,0
0.4,0.06680804,P,M,3,0
0.33,0.05714827,O,M,2,0
-0.42,-0.08691725,F,K,5,0
-0.05,-0.17938827,L,I,3,0
-0.05,-0.110975295,L,K,1,0
-0.07,0.10698652,K,N,3,0
0.35,-0.036082022,O,L,3,0
0.35,0.024079278,O,M,2,0
-0.33,-0.10160354,G,K,4,0
-0.37,-0.22584955,F,H,2,0
0.12,-0.028022237,N,L,2,0
-0.23,-0.028537251,H,L,4,0
0.25,0.03575725,O,M,2,0
0.11,0.054686047,N,M,1,0
-0.05,-0.16682854,L,J,2,0
-0.76,-0.12800646,D,J,6,0
0.23,-0.020716049,O,L,3,0
-0.02,-0.051104292,L,L,0,1
0.25,0.0012174472,O,M,2,0
0.19,0.10188774,N,N,0,1
-0.3,-0.095371954,G,K,4,0
-0.16,-0.14949892,J,J,0,1
-0.04,-0.11036775,L,K,1,0
0.09,-0.07199501,N,K,3,0
0.23,-0.011606902,O,L,3,0
0.3,0.08241648,O,M,2,0
0.07,-0.11604125,M,K,2,0
-0.74,-0.07983717,D,K,7,0
-0.07,-0.049837254,K,L,1,0
0.0,-0.049152836,M,L,1,0
0.02,0.10155743,M,N,1,0
-0.21,-0.15073223,I,J,1,0
-0.07,-0.11557167,K,K,0,1
-0.55,-0.03746829,E,L,7,0
0.3,-0.05758527,O,L,3,0
0.02,0.06012815,M,M,0,1
0.14,0.061775185,N,M,1,0
-0.05,-0.117283426,L,K,1,0
0.07,-0.12664236,M,J,3,0
-0.09,-0.03974551,K,L,1,0
0.04,-0.047099672,M,L,1,0
0.12,0.0012237206,N,M,1,0
0.12,0.0520017,N,M,1,0
0.18,-0.078914896,N,K,3,0
-0.3,-0.14758986,G,J,3,0
0.03,-0.11542421,M,K,2,0
0.09,0.031756375,N,M,1,0
0.4,0.08612774,P,M,3,0
0.33,0.08161661,O,M,2,0
-0.42,-0.09722192,F,K,5,0
-0.05,-0.19517857,L,I,3,0
-0.05,-0.1502128,L,J,2,0
-0.07,0.09909725,K,N,3,0
0.35,-0.043097354,O,L,3,0
0.35,0.020544976,O,M,2,0
-0.33,-0.10583811,G,K,4,0
-0.37,-0.22934918,F,H,2,0
0.12,-0.034470737,N,L,2,0
-0.23,-0.029161446,H,L,4,0
0.25,0.035078995,O,M,2,0
0.11,0.053104334,N,M,1,0
-0.05,-0.1721393,L,J,2,0
-0.76,-0.12568618,D,J,6,0
0.23,-0.019192465,O,L,3,0
-0.02,-0.059850395,L,L,0,1
0.25,-0.0007655546,O,M,2,0
0.19,0.08964928,N,N,0,1
-0.3,-0.10734645,G,K,4,0
-0.16,-0.13281095,J,J,0,1
-0.04,-0.094398215,L,K,1,0
0.09,-0.06712533,N,L,2,0
0.23,-0.014533699,O,L,3,0
0.3,0.081053264,O,M,2,0
-0.16,-0.16239542,J,J,0,1
-0.74,-0.086528674,D,K,7,0
-0.07,-0.053209096,K,L,1,0
0.0,-0.043660045,M,L,1,0
0.02,0.10469557,M,N,1,0
-0.21,-0.1452971,I,J,1,0
-0.07,-0.11159159,K,K,0,1
-0.55,-0.041794606,E,L,7,0
0.3,-0.061402634,O,L,3,0
0.02,0.05773968,M,M,0,1
0.14,0.08567615,N,M,1,0
-0.05,-0.11257002,L,K,1,0
0.07,-0.11117058,M,K,2,0
-0.09,-0.03440044,K,L,1,0
0.04,-0.05136154,M,L,1,0
0.12,-0.009952962,N,L,2,0
0.12,0.044368327,N,M,1,0
0.18,-0.08380318,N,K,3,0
-0.3,-0.13211244,G,J,3,0
0.03,-0.101155624,M,K,2,0
0.09,0.04381872,N,M,1,0
0.4,0.09582649,P,N,2,0
0.33,0.08222817,O,M,2,0
-0.42,-0.10476919,F,K,5,0
-0.05,-0.1817869,L,I,3,0
-0.05,-0.13135552,L,J,2,0
-0.07,0.09568037,K,N,3,0
0.35,-0.052491337,O,L,3,0
0.35,0.01973994,O,M,2,0
-0.33,-0.105863154,G,K,4,0
-0.37,-0.2232961,F,H,2,0
0.12,-0.03769365,N,L,2,0
-0.23,-0.023887902,H,L,4,0
0.25,0.030592509,O,M,2,0
0.11,0.065009184,N,M,1,0
-0.05,-0.17772451,L,I,3,0
-0.76,-0.12052496,D,K,7,0
0.23,-0.020996101,O,L,3,0
-0.02,-0.052991405,L,L,0,1
0.25,-0.008153334,O,L,3,0
0.19,0.09588353,N,N,0,1
-0.3,-0.10430413,G,K,4,0
-0.16,-0.10463221,J,K,1,0
-0.04,-0.07597571,L,K,1,0
0.09,-0.041339435,N,L,2,0
0.23,0.0167007,O,M,2,0
0.3,0.093032695,O,N,1,0
-0.16,-0.16001722,J,J,0,1
-0.02,-0.08004738,L,K,1,0
-0.07,-0.074013285,K,K,0,1
0.0,-0.054827623,M,L,1,0
0.02,0.09472988,M,N,1,0
-0.21,-0.14271578,I,J,1,0
-0.07,-0.10245551,K,K,0,1
-0.55,-0.054153986,E,L,7,0
0.3,-0.048226904,O,L,3,0
0.02,0.079664536,M,M,0,1
0.14,0.10274375,N,N,0,1
-0.05,-0.09713425,L,K,1,0
0.07,-0.090930596,M,K,2,0
-0.09,-0.032381393,K,L,1,0
0.04,-0.0402861,M,L,1,0
0.12,-0.015687197,N,L,2,0
0.12,0.04088582,N,M,1,0
0.18,-0.10150745,N,K,3,0
-0.3,-0.10708406,G,K,4,0
0.03,-0.08213721,M,K,2,0
0.09,0.05224981,N,M,1,0
0.4,0.10226482,P,N,2,0
0.33,0.09740557,O,N,1,0
-0.42,-0.09265972,F,K,5,0
-0.05,-0.19267052,L,I,3,0
-0.05,-0.0932745,L,K,1,0
-0.07,0.07101682,K,M,2,0
0.35,0.009934224,O,M,2,0
0.35,0.02617541,O,M,2,0
-0.33,-0.105102375,G,K,4,0
-0.37,-0.2270006,F,H,2,0
0.12,-0.0378059,N,L,2,0
-0.23,-0.019260444,H,L,4,0
0.25,0.02931083,O,M,2,0
0.11,0.06227579,N,M,1,0
-0.05,-0.17966938,L,I,3,0
-0.76,-0.11632095,D,K,7,0
0.23,-0.021585561,O,L,3,0
-0.02,-0.05705575,L,L,0,1
0.25,-0.0010570437,O,M,2,0
0.19,0.090146944,N,N,0,1
-0.3,-0.11311336,G,K,4,0
-0.16,-0.09879661,J,K,1,0
-0.04,-0.07229012,L,K,1,0
0.09,-0.03364817,N,L,2,0
0.23,0.027563572,O,M,2,0
0.3,0.09423057,O,N,1,0
-0.16,-0.15537465,J,J,0,1
-0.02,-0.078941226,L,K,1,0
-0.02,-0.061950102,L,L,0,1
0.0,-0.07029067,M,K,2,0
0.02,0.08942363,M,N,1,0
-0.21,-0.15021415,I,J,1,0
-0.07,-0.11438212,K,K,0,1
-0.55,-0.0664368,E,L,7,0
0.3,-0.04679214,O,L,3,0
0.02,0.076045536,M,M,0,1
0.14,0.091835156,N,N,0,1
-0.05,-0.10788577,L,K,1,0
0.07,-0.08417741,M,K,2,0
-0.09,-0.026798695,K,L,1,0
0.04,-0.037184745,M,L,1,0
0.12,-0.012818374,N,L,2,0
0.12,0.039895214,N,M,1,0
0.18,-0.110106446,N,K,3,0
-0.3,-0.100722976,G,K,4,0
0.03,-0.08307439,M,K,2,0
0.09,0.053817764,N,M,1,0
0.4,0.10359514,P,N,2,0
0.33,0.10428625,O,N,1,0
-0.42,-0.08553994,F,K,5,0
-0.05,-0.17651154,L,I,3,0
-0.05,-0.06080609,L,L,0,1
-0.07,0.033173643,K,M,2,0
0.35,0.018781357,O,M,2,0
0.35,0.007060714,O,M,2,0
-0.33,-0.10772277,G,K,4,0
-0.37,-0.22748739,F,H,2,0
0.12,-0.03570365,N,L,2,0
-0.23,-0.015579872,H,L,4,0
0.25,0.034577176,O,M,2,0
0.11,0.06710723,N,M,1,0
-0.05,-0.1867206,L,I,3,0
-0.76,-0.11204009,D,K,7,0
0.23,-0.019273482,O,L,3,0
-0.02,-0.05263284,L,L,0,1
0.25,0.009201184,O,M,2,0
0.19,0.093778186,N,N,0,1
-0.3,-0.11707511,G,K,4,0
-0.16,-0.10064778,J,K,1,0
-0.04,-0.07001783,L,K,1,0
0.09,-0.022102304,N,L,2,0
0.23,0.060307704,O,M,2,0
0.3,0.105684355,O,N,1,0
-0.16,-0.14309171,J,J,0,1
-0.02,-0.07368415,L,K,1,0
-0.02,-0.06240306,L,L,0,1
0.05,-0.006041102,M,L,1,0
0.02,0.0723444,M,M,0,1
-0.21,-0.16208851,I,J,1,0
-0.07,-0.12578292,K,J,1,0
-0.55,-0.07668679,E,K,6,0
0.3,-0.04343114,O,L,3,0
0.02,0.07236557,M,M,0,1
0.14,0.08062285,N,M,1,0
-0.05,-0.11966464,L,K,1,0
0.07,-0.08389766,M,K,2,0
-0.09,-0.09222998,K,K,0,1
0.04,-0.031215928,M,L,1,0
0.12,-0.0045587495,N,L,2,0
0.12,0.0429435,N,M,1,0
0.18,-0.10877571,N,K,3,0
-0.3,-0.10439803,G,K,4,0
0.03,-0.093068264,M,K,2,0
0.09,0.04544815,N,M,1,0
0.4,0.10115448,P,N,2,0
0.33,0.10450591,O,N,1,0
-0.42,-0.0770918,F,K,5,0
-0.05,-0.16623151,L,J,2,0
-0.05,-0.045350507,L,L,0,1
-0.07,0.027262427,K,M,2,0
0.35,0.0027220994,O,M,2,0
0.35,-0.006011799,O,L,3,0
-0.33,-0.14295022,G,J,3,0
-0.37,-0.22178446,F,I,3,0
0.12,-0.030655168,N,L,2,0
-0.23,-0.016685717,H,L,4,0
0.25,0.040537104,O,M,2,0
0.11,0.07766613,N,M,1,0
-0.05,-0.19240999,L,I,3,0
-0.76,-0.11037558,D,K,7,0
0.23,-0.0370977,O,L,3,0
-0.02,-0.041958287,L,L,0,1
0.25,0.01912485,O,M,2,0
0.19,0.101438075,N,N,0,1
-0.3,-0.1314263,G,J,3,0
-0.16,-0.101897575,J,K,1,0
-0.04,-0.0967385,L,K,1,0
0.09,-0.030526027,N,L,2,0
0.23,0.06777332,O,M,2,0
0.3,0.11000468,O,N,1,0
-0.16,-0.16227525,J,J,0,1
-0.02,-0.10183799,L,K,1,0
-0.02,-0.106162086,L,K,1,0
0.05,-0.018850356,M,L,1,0
0.19,0.036584646,N,M,1,0
-0.21,-0.17510884,I,I,0,1
-0.07,-0.13713078,K,J,1,0
-0.55,-0.08121985,E,K,6,0
0.3,-0.04401498,O,L,3,0
0.02,0.067528486,M,M,0,1
0.14,0.07054395,N,M,1,0
-0.05,-0.12659499,L,J,2,0
0.07,-0.09073187,M,K,2,0
-0.09,-0.08701249,K,K,0,1
0.04,-0.031695433,M,L,1,0
0.12,0.0006773621,N,M,1,0
0.12,0.046667077,N,M,1,0
0.18,-0.09987201,N,K,3,0
-0.3,-0.110584565,G,K,4,0
0.03,-0.10692609,M,K,2,0
0.09,0.030565295,N,M,1,0
0.4,0.09406844,P,N,2,0
0.33,0.099119976,O,N,1,0
-0.42,-0.06932377,F,L,6,0
-0.05,-0.15316343,L,J,2,0
-0.05,-0.039035074,L,L,0,1
-0.07,0.012164183,K,M,2,0
0.35,-0.022467114,O,L,3,0
0.35,0.013530135,O,M,2,0
-0.33,-0.14269505,G,J,3,0
-0.37,-0.14603859,F,J,4,0
0.12,-0.030742012,N,L,2,0
-0.23,-0.0241241,H,L,4,0
0.25,0.041488178,O,M,2,0
0.11,0.08586161,N,M,1,0
-0.05,-0.19561233,L,I,3,0
-0.76,-0.10877346,D,K,7,0
0.23,-0.031480424,O,L,3,0
-0.02,-0.032361902,L,L,0,1
0.25,0.022528186,O,M,2,0
0.19,0.10807669,N,N,0,1
-0.3,-0.12428755,G,J,3,0
-0.16,-0.09735987,J,K,1,0
-0.04,-0.098971695,L,K,1,0
0.09,-0.035080835,N,L,2,0
0.23,0.06892674,O,M,2,0
0.3,0.1141077,O,N,1,0
-0.16,-0.13941097,J,J,0,1
-0.02,-0.080044255,L,K,1,0
-0.02,-0.09229324,L,K,1,0
0.05,-0.017390847,M,L,1,0
0.19,0.036535405,N,M,1,0
-0.05,0.16428092,L,N,2,0
-0.07,-0.14268412,K,J,1,0
-0.55,-0.08059782,E,K,6,0
0.3,-0.040896844,O,L,3,0
0.02,0.060134638,M,M,0,1
0.14,0.06279814,N,M,1,0
-0.05,-0.13310732,L,J,2,0
0.07,-0.09715524,M,K,2,0
-0.09,-0.083425894,K,K,0,1
0.04,-0.03715297,M,L,1,0
0.12,0.0037049502,N,M,1,0
0.12,0.04974944,N,M,1,0
0.18,-0.090610735,N,K,3,0
-0.3,-0.106093556,G,K,4,0
0.03,-0.11048941,M,K,2,0
0.09,0.018911812,N,M,1,0
0.4,0.081580624,P,M,3,0
0.33,0.093156464,O,N,1,0
-0.42,-0.06473996,F,L,6,0
-0.05,-0.13848358,L,J,2,0
-0.05,-0.030704565,L,L,0,1
-0.07,0.0147496015,K,M,2,0
0.35,-0.0031180084,O,L,3,0
0.35,0.0069165826,O,M,2,0
-0.33,-0.17627826,G,I,2,0
-0.37,-0.18002316,F,I,3,0
0.12,-0.06777384,N,L,2,0
-0.23,-0.028658412,H,L,4,0
0.25,0.03930886,O,M,2,0
0.11,0.08706419,N,M,1,0
-0.05,-0.19236885,L,I,3,0
-0.76,-0.10463015,D,K,7,0
0.23,-0.024978384,O,L,3,0
-0.02,-0.03164158,L,L,0,1
0.25,0.025374934,O,M,2,0
0.19,0.110950395,N,N,0,1
-0.3,-0.12479162,G,J,3,0
-0.16,-0.094203,J,K,1,0
-0.04,-0.092368096,L,K,1,0
0.09,-0.038757592,N,L,2,0
0.23,0.07128066,O,M,2,0
0.3,0.11305035,O,N,1,0
-0.16,-0.13454393,J,J,0,1
-0.02,-0.05687896,L,L,0,1
-0.02,-0.07113073,L,K,1,0
0.05,-0.003576845,M,L,1,0
0.19,0.04146661,N,M,1,0
-0.05,0.17367002,L,N,2,0
-0.21,-0.07679903,I,K,2,0
-0.55,-0.08278947,E,K,6,0
0.3,-0.047407605,O,L,3,0
0.02,0.056229737,M,M,0,1
0.14,0.062610686,N,M,1,0
-0.05,-0.12784843,L,J,2,0
0.07,-0.10183063,M,K,2,0
-0.09,-0.08117205,K,K,0,1
0.04,-0.042317025,M,L,1,0
0.12,-0.002574861,N,L,2,0
0.12,0.047158413,N,M,1,0
0.18,-0.084558174,N,K,3,0
-0.3,-0.093143016,G,K,4,0
0.03,-0.10673913,M,K,2,0
0.09,0.014438823,N,M,1,0
0.4,0.07248506,P,M,3,0
0.33,0.08878018,O,N,1,0
-0.42,-0.062659524,F,L,6,0
-0.05,-0.13278456,L,J,2,0
-0.05,-0.025921829,L,L,0,1
-0.07,0.023099974,K,M,2,0
0.35,0.00094763935,O,M,2,0
0.35,-0.004007466,O,L,3,0
-0.33,-0.18916918,G,I,2,0
-0.37,-0.13688733,F,J,4,0
0.12,-0.045746475,N,L,2,0
-0.23,-0.024536557,H,L,4,0
0.25,0.026853748,O,M,2,0
0.11,0.08123383,N,M,1,0
-0.05,-0.1861198,L,I,3,0
-0.76,-0.09986996,D,K,7,0
0.23,-0.01862397,O,L,3,0
-0.02,-0.036095932,L,L,0,1
0.25,0.01876212,O,M,2,0
0.19,0.10613164,N,N,0,1
-0.3,-0.13157523,G,J,3,0
-0.16,-0.091955006,J,K,1,0
-0.04,-0.0945358,L,K,1,0
0.09,-0.042999357,N,L,2,0
0.23,0.06302535,O,M,2,0
0.3,0.105395034,O,N,1,0
-0.16,-0.13200963,J,J,0,1
-0.02,-0.049833275,L,L,0,1
-0.02,-0.060463525,L,L,0,1
0.05,0.003748566,M,M,0,1
0.19,0.043037392,N,M,1,0
-0.05,0.17279422,L,N,2,0
-0.21,-0.076520965,I,K,2,0
-0.19,-0.17609206,I,I,0,1
0.3,-0.054127287,O,L,3,0
0.02,0.048035685,M,M,0,1
0.14,0.0693695,N,M,1,0
-0.05,-0.13134278,L,J,2,0
0.07,-0.10109951,M,K,2,0
-0.09,-0.08314147,K,K,0,1
0.04,-0.04472994,M,L,1,0
0.12,-0.0006798059,N,M,1,0
0.12,0.043001797,N,M,1,0
0.18,-0.08006131,N,K,3,0
-0.3,-0.07662082,G,K,4,0
0.03,-0.10914797,M,K,2,0
0.09,0.011859506,N,M,1,0
0.4,0.07619724,P,M,3,0
0.33,0.10250175,O,N,1,0
-0.42,-0.06636569,F,L,6,0
-0.05,-0.1419774,L,J,2,0
-0.05,-0.025499955,L,L,0,1
-0.07,0.032263562,K,M,2,0
0.35,0.011480689,O,M,2,0
0.35,0.0049163476,O,M,2,0
-0.33,-0.17625047,G,I,2,0
-0.37,-0.1399528,F,J,4,0
0.12,-0.042267874,N,L,2,0
-0.23,-0.038215585,H,L,4,0
0.25,0.020228818,O,M,2,0
0.11,0.08120477,N,M,1,0
-0.05,-0.18398097,L,I,3,0
-0.76,-0.10352127,D,K,7,0
0.23,-0.016756162,O,L,3,0
-0.02,-0.042738378,L,L,0,1
0.25,0.013881721,O,M,2,0
0.19,0.095903546,N,N,0,1
-0.3,-0.13475335,G,J,3,0
-0.16,-0.09402869,J,K,1,0
-0.04,-0.09710349,L,K,1,0
0.09,-0.0489029,N,L,2,0
0.23,0.05666057,O,M,2,0
0.3,0.09529928,O,N,1,0
-0.16,-0.12737387,J,J,0,1
-0.02,-0.056554213,L,L,0,1
-0.02,-0.05845517,L,L,0,1
0.05,0.016765028,M,M,0,1
0.19,0.050450772,N,M,1,0
-0.05,0.1678352,L,N,2,0
-0.21,-0.071361795,I,K,2,0
-0.19,-0.18328255,I,I,0,1
-0.47,-0.01609362,E,L,7,0
0.02,0.033339962,M,M,0,1
0.14,0.06223108,N,M,1,0
-0.05,-0.13742346,L,J,2,0
0.07,-0.10433738,M,K,2,0
-0.09,-0.08739278,K,K,0,1
0.04,-0.042745933,M,L,1,0
0.12,-0.00067604333,N,M,1,0
0.12,0.0369158,N,M,1,0
0.18,-0.08354086,N,K,3,0
-0.3,-0.07292123,G,K,4,0
0.03,-0.09775395,M,K,2,0
0.09,0.012483701,N,M,1,0
0.4,0.07668467,P,M,3,0
0.33,0.111628965,O,N,1,0
-0.42,-0.066664,F,L,6,0
-0.05,-0.14857222,L,J,2,0
-0.05,-0.031428866,L,L,0,1
-0.07,0.035571642,K,M,2,0
0.35,0.020907514,O,M,2,0
0.35,0.013204113,O,M,2,0
-0.33,-0.1690291,G,J,3,0
-0.37,-0.128907,F,J,4,0
0.12,-0.03986489,N,L,2,0
-0.23,-0.044452228,H,L,4,0
0.25,0.022770457,O,M,2,0
0.11,0.056866948,N,M,1,0
-0.05,-0.18665203,L,I,3,0
-0.76,-0.11014182,D,K,7,0
0.23,-0.020328082,O,L,3,0
-0.02,-0.045501724,L,L,0,1
0.25,0.01376266,O,M,2,0
0.19,0.085075006,N,M,1,0
-0.3,-0.14001915,G,J,3,0
-0.16,-0.10555928,J,K,1,0
-0.04,-0.098057695,L,K,1,0
0.09,-0.052586883,N,L,2,0
0.23,0.05474428,O,M,2,0
0.3,0.08216157,O,M,2,0
-0.16,-0.12374722,J,K,1,0
-0.02,-0.07165874,L,K,1,0
-0.02,-0.06364062,L,L,0,1
0.05,0.013977483,M,M,0,1
0.19,0.046202354,N,M,1,0
-0.05,0.14572152,L,N,2,0
-0.21,-0.07195935,I,K,2,0
-0.19,-0.18959537,I,I,0,1
-0.47,-0.026302762,E,L,7,0
-0.26,0.041374832,H,M,5,0
0.14,0.04220768,N,M,1,0
-0.05,-0.1443009,L,J,2,0
0.07,-0.10824537,M,K,2,0
-0.09,-0.092332795,K,K,0,1
0.04,-0.04625348,M,L,1,0
0.12,0.0007827431,N,M,1,0
0.12,0.026930265,N,M,1,0
0.18,-0.09027671,N,K,3,0
-0.3,-0.06931478,G,L,5,0
0.03,-0.10869674,M,K,2,0
0.09,0.009036057,N,M,1,0
0.4,0.072437085,P,M,3,0
0.33,0.11031163,O,N,1,0
-0.42,-0.063551314,F,L,6,0
-0.05,-0.15753974,L,J,2,0
-0.05,-0.04128039,L,L,0,1
-0.07,0.028740518,K,M,2,0
0.35,0.02492886,O,M,2,0
0.35,0.016979657,O,M,2,0
-0.33,-0.16067684,G,J,3,0
-0.37,-0.11959522,F,K,5,0
0.12,-0.035282187,N,L,2,0
-0.23,-0.047661647,H,L,4,0
0.25,0.025774226,O,M,2,0
0.11,0.05206012,N,M,1,0
-0.05,-0.20003362,L,I,3,0
-0.76,-0.119600676,D,K,7,0
0.23,-0.027008802,O,L,3,0
-0.02,-0.04603026,L,L,0,1
0.25,0.014154255,O,M,2,0
0.19,0.07573897,N,M,1,0
-0.3,-0.1406082,G,J,3,0
-0.16,-0.113025695,J,K,1,0
-0.04,-0.10956122,L,K,1,0
0.09,-0.05787003,N,L,2,0
0.23,0.05304057,O,M,2,0
0.3,0.08209906,O,M,2,0
-0.16,-0.12831654,J,J,0,1
-0.02,-0.07734108,L,K,1,0
-0.02,-0.0831762,L,K,1,0
0.05,0.007474862,M,M,0,1
0.19,0.041976266,N,M,1,0
-0.05,0.1303431,L,N,2,0
-0.21,-0.07852308,I,K,2,0
-0.19,-0.18730183,I,I,0,1
-0.47,-0.047247946,E,L,7,0
-0.26,0.025899574,H,M,5,0
0.49,0.08563944,P,M,3,0
-0.05,-0.15976371,L,J,2,0
0.07,-0.11465122,M,K,2,0
-0.09,-0.098012276,K,K,0,1
0.04,-0.0484292,M,L,1,0
0.12,0.0017403588,N,M,1,0
0.12,0.022882856,N,M,1,0
0.18,-0.09479603,N,K,3,0
-0.3,-0.07527884,G,K,4,0
0.03,-0.10891173,M,K,2,0
0.09,0.0063997135,N,M,1,0
0.4,0.06576926,P,M,3,0
0.33,0.10220577,O,N,1,0
-0.42,-0.059196867,F,L,6,0
-0.05,-0.16042209,L,J,2,0
-0.05,-0.0501673,L,L,0,1
-0.07,0.015844248,K,M,2,0
0.35,0.0183528,O,M,2,0
0.35,0.015922815,O,M,2,0
-0.33,-0.1543422,G,J,3,0
-0.37,-0.107834116,F,K,5,0
0.12,-0.029113486,N,L,2,0
-0.23,-0.04503584,H,L,4,0
0.25,0.031101495,O,M,2,0
0.11,0.045892462,N,M,1,0
-0.05,-0.20665026,L,I,3,0
-0.76,-0.12117088,D,K,7,0
0.23,-0.021497518,O,L,3,0
-0.02,-0.048420757,L,L,0,1
0.25,0.013388343,O,M,2,0
0.19,0.07036878,N,M,1,0
-0.3,-0.1390003,G,J,3,0
-0.16,-0.119896226,J,K,1,0
-0.04,-0.111610524,L,K,1,0
0.09,-0.058675498,N,L,2,0
0.23,0.05211731,O,M,2,0
0.3,0.085776135,O,M,2,0
-0.16,-0.121741675,J,K,1,0
-0.02,-0.0720322,L,K,1,0
-0.02,-0.08738146,L,K,1,0
0.05,0.0042220578,M,M,0,1
0.19,0.0466875,N,M,1,0
-0.05,0.1299991,L,N,2,0
-0.21,-0.07651917,I,K,2,0
-0.19,-0.16985413,I,J,1,0
-0.47,-0.04278893,E,L,7,0
-0.26,0.025762983,H,M,5,0
0.49,0.092260234,P,N,2,0
0.25,0.16927634,O,N,1,0
0.07,-0.12427155,M,J,3,0
-0.09,-0.102438055,K,K,0,1
0.04,-0.048850335,M,L,1,0
0.12,0.0011730045,N,M,1,0
0.12,0.0222141,N,M,1,0
0.18,-0.094763726,N,K,3,0
-0.3,-0.080954686,G,K,4,0
0.03,-0.11152281,M,K,2,0
0.09,-0.0027906522,N,L,2,0
0.4,0.056053855,P,M,3,0
0.33,0.09461388,O,N,1,0
-0.42,-0.056603573,F,L,6,0
-0.05,-0.15483816,L,J,2,0
-0.05,-0.056257643,L,L,0,1
-0.07,0.0022820681,K,M,2,0
0.35,0.00436648,O,M,2,0
0.35,0.010889798,O,M,2,0
-0.33,-0.15225357,G,J,3,0
-0.37,-0.09550278,F,K,5,0
0.12,-0.018320136,N,L,2,0
-0.23,-0.03863749,H,L,4,0
0.25,0.03709516,O,M,2,0
0.11,0.052447304,N,M,1,0
-0.05,-0.21137209,L,I,3,0
-0.76,-0.11927787,D,K,7,0
0.23,-0.020642154,O,L,3,0
-0.02,-0.05204758,L,L,0,1
0.25,0.017601252,O,M,2,0
0.19,0.0663664,N,M,1,0
-0.3,-0.14004023,G,J,3,0
-0.16,-0.121673346,J,K,1,0
-0.04,-0.112359986,L,K,1,0
0.09,-0.064368114,N,L,2,0
0.23,0.0510941,O,M,2,0
0.3,0.089209266,O,N,1,0
-0.16,-0.12128965,J,K,1,0
-0.02,-0.07257501,L,K,1,0
-0.02,-0.08717753,L,K,1,0
0.05,-0.0035485253,M,L,1,0
0.19,0.040752225,N,M,1,0
-0.05,0.121970154,L,N,2,0
-0.21,-0.08132774,I,K,2,0
-0.19,-0.1515008,I,J,1,0
-0.47,-0.042314507,E,L,7,0
-0.26,0.02509056,H,M,5,0
0.49,0.08885309,P,N,2,0
0.25,0.16678041,O,N,1,0
0.0,-0.24644722,M,H,5,0
-0.09,-0.10905689,K,K,0,1
0.04,-0.055870198,M,L,1,0
0.12,-0.0045513287,N,L,2,0
0.12,0.021619737,N,M,1,0
0.18,-0.093728155,N,K,3,0
-0.3,-0.08414458,G,K,4,0
0.03,-0.11070514,M,K,2,0
0.09,-0.011304669,N,L,2,0
0.4,0.045132563,P,M,3,0
0.33,0.0828172,O,M,2,0
-0.42,-0.058358774,F,L,6,0
-0.05,-0.14022477,L,J,2,0
-0.05,-0.05965171,L,L,0,1
-0.07,-0.0054535493,K,L,1,0
0.35,-0.007347651,O,L,3,0
0.35,0.00639116,O,M,2,0
-0.33,-0.15510394,G,J,3,0
-0.37,-0.08790246,F,K,5,0
0.12,-0.008037873,N,L,2,0
-0.23,-0.029044844,H,L,4,0
0.25,0.046415374,O,M,2,0
0.11,0.06200787,N,M,1,0
-0.05,-0.21320416,L,I,3,0
-0.76,-0.10940745,D,K,7,0
0.23,-0.013289191,O,L,3,0
-0.02,-0.055742152,L,L,0,1
0.25,0.017500594,O,M,2,0
0.19,0.066413835,N,M,1,0
-0.3,-0.14508428,G,J,3,0
-0.16,-0.12112782,J,K,1,0
-0.04,-0.11262792,L,K,1,0
0.09,-0.0638622,N,L,2,0
0.23,0.050099336,O,M,2,0
0.3,0.08768008,O,M,2,0
-0.16,-0.12650935,J,J,0,1
-0.02,-0.07353969,L,K,1,0
-0.02,-0.086041056,L,K,1,0
0.05,-0.009988114,M,L,1,0
